sim
19.234375
24.171875
20.515625
19.34375
20.359375
22.0625
23.25
18.359375
21.265625
20.09375
23.796875
18.828125
17.921875
20.109375
18.984375
20.953125
21.40625
21.90625
19.171875
25.296875
23.34375
23.5
19.234375
20.28125
22.015625
22.25
